state,county,year,age_25-29,age_35-39,age_40-44,age_45-49,age_50-54,age_55-59,age_60-64,age_65-69,age_70-74,age_75-79,age_80-84,age_85-89,age_90-94,age_95-99,over_100
Alabama,Calhoun,2017,,,,,,,,,,,10,,,,
Alabama,Jefferson,2017,,,,,,14,,10,20,25,30,22,23,,
Alabama,Jefferson,2018,,,,,,14,14,16,16,27,29,21,18,10,
Alabama,Jefferson,2019,,,,,,12,10,20,13,18,17,17,19,,
Alabama,Jefferson,2020,,,,,,,16,14,16,16,11,22,20,,
Alabama,Madison,2017,,,,,,,,,,,,13,15,,
Alabama,Madison,2020,,,,,,,,,,,,12,,,
Alabama,Mobile,2017,,,,,,,,,14,,19,10,11,,
Alabama,Mobile,2018,,,,,,,,11,11,11,15,19,12,,
Alabama,Mobile,2019,,,,,,,10,,,10,,,,,
Alabama,Mobile,2020,,,,,,,,,13,,,,,,
Alabama,Montgomery,2020,,,,,,,,,,10,,,,,
Alabama,Morgan,2018,,,,,,,,,,,,11,,,
Alabama,Morgan,2020,,,,,,,,,,,10,,,,
Alabama,Tuscaloosa,2020,,,,,,,,,10,,,,,,
Arizona,Maricopa,2017,,,,,,23,18,27,49,52,51,57,67,29,
Arizona,Maricopa,2018,,,,14,17,33,38,54,54,69,74,104,69,41,
Arizona,Maricopa,2019,,,,,15,37,36,37,66,52,75,67,65,30,
Arizona,Maricopa,2020,,,10,16,21,33,53,51,73,68,77,76,65,27,
Arizona,Mohave,2017,,,,,,,,,11,,,,,,
Arizona,Mohave,2018,,,,,,,,11,,11,15,10,,,
Arizona,Mohave,2019,,,,,,,,,10,11,,,,,
Arizona,Mohave,2020,,,,,,,,,,13,10,,,,
Arizona,Pima,2017,,,,,,,,13,16,17,20,23,23,10,
Arizona,Pima,2018,,,,,,11,14,13,19,25,25,28,21,13,
Arizona,Pima,2019,,,,,,,11,16,15,20,22,19,23,,
Arizona,Pima,2020,,,,,,10,15,17,27,27,26,31,26,,
Arizona,Pinal,2017,,,,,,,,,,13,,,,,
Arizona,Pinal,2018,,,,,,,,,,11,,,,,
Arizona,Pinal,2020,,,,,,,,,10,,14,,,,
Arizona,Yavapai,2017,,,,,,,,,,,,15,10,,
Arizona,Yavapai,2018,,,,,,,,,,,,,14,,
Arizona,Yuma,2017,,,,,,,,,,12,,,,,
Arkansas,Pulaski,2017,,,,,,,,,10,10,13,12,11,,
Arkansas,Pulaski,2018,,,,,,,,,,,,12,11,,
Arkansas,Pulaski,2019,,,,,,,,,,,12,,,,
Arkansas,Pulaski,2020,,,,,,,,,,,,10,,,
California,Alameda,2017,,,,,,,,15,13,21,31,48,38,25,
California,Alameda,2018,,,,,10,,14,15,24,30,38,36,45,14,
California,Alameda,2019,,,,,,,,17,13,26,31,44,34,20,
California,Alameda,2020,,,,,,13,,21,15,20,23,22,24,14,10
California,Butte,2018,,,,,,,,,,,,,11,10,
California,Butte,2019,,,,,,,,,,,,,12,,
California,Contra Costa,2017,,,,,,,14,,14,12,29,32,23,10,
California,Contra Costa,2018,,,,,,,,11,11,22,38,28,33,14,
California,Contra Costa,2019,,,,,,,,11,15,12,22,23,17,11,
California,Contra Costa,2020,,,,,,,,,13,11,16,20,11,,
California,Fresno,2017,,,,,,,15,12,14,17,18,22,27,11,
California,Fresno,2018,,,,,,17,10,18,19,22,23,28,22,14,
California,Fresno,2019,,,,,,12,,11,15,10,12,19,13,,
California,Fresno,2020,,,,,,,10,10,15,13,17,27,13,,
California,Imperial,2017,,,,,,,,,,,10,,,,
California,Imperial,2019,,,,,,,,,,,,,10,,
California,Kern,2017,,,,,,,,14,,14,,12,13,,
California,Kern,2018,,,,,,,12,15,16,11,10,13,12,,
California,Kern,2019,,,,,,,12,17,12,15,14,13,,,
California,Kern,2020,,,,,,,12,20,14,19,13,,10,,
California,Los Angeles,2017,,,,13,17,26,122,112,166,212,322,384,333,181,43
California,Los Angeles,2018,,11,21,15,32,40,114,171,205,250,307,387,357,194,58
California,Los Angeles,2019,,,12,12,19,30,109,145,172,199,254,306,302,175,52
California,Los Angeles,2020,10,11,12,22,29,34,149,177,231,239,330,347,323,181,36
California,Marin,2017,,,,,,,,,,,,14,10,,
California,Marin,2018,,,,,,,,,,,,,12,,
California,Marin,2019,,,,,,,,,,,,,10,,
California,Merced,2017,,,,,,,,10,,,,,,,
California,Merced,2018,,,,,,,,,,,,,10,,
California,Monterey,2017,,,,,,,,,,,,10,12,,
California,Monterey,2018,,,,,,,,,,,10,,13,,
California,Orange,2017,,,,,,,17,22,31,59,88,109,114,62,10
California,Orange,2018,,,,,,13,23,29,54,62,99,104,102,41,14
California,Orange,2019,,,,,13,14,20,31,41,57,72,111,86,44,16
California,Orange,2020,,,,,,15,24,23,64,69,72,99,67,42,
California,Placer,2017,,,,,,,,,,,26,18,17,,
California,Placer,2018,,,,,,,,,,,15,10,20,,
California,Placer,2019,,,,,,,,,,,,12,11,,
California,Riverside,2017,,,,,10,13,16,22,34,43,52,55,41,18,
California,Riverside,2018,,,,,,22,33,28,41,39,65,66,49,15,
California,Riverside,2019,,,,10,14,14,18,27,36,61,44,42,39,11,
California,Riverside,2020,,,,,15,27,37,36,40,38,48,53,35,14,
California,Sacramento,2017,,,,,,13,17,23,22,27,37,28,48,12,
California,Sacramento,2018,,,,,,18,21,31,27,21,36,43,40,16,
California,Sacramento,2019,,,,,,,19,16,20,27,29,37,26,17,
California,Sacramento,2020,,,,,,,19,24,16,17,41,39,36,19,
California,San Bernardino,2017,,,,,,,22,27,32,32,44,34,25,13,
California,San Bernardino,2018,,,,,14,15,27,31,31,34,34,48,40,13,
California,San Bernardino,2019,,,,13,12,17,29,38,34,26,41,26,15,13,
California,San Bernardino,2020,,,,,17,18,28,40,55,46,47,48,24,,
California,San Diego,2017,,,,,,10,13,11,25,34,57,75,92,46,11
California,San Diego,2018,,,,,,15,20,30,33,42,56,85,89,46,
California,San Diego,2019,,,,,,10,21,12,28,34,43,44,43,26,
California,San Diego,2020,,,,,,11,23,18,26,31,38,55,51,18,
California,San Francisco,2017,,,,,,,,,,11,13,24,32,19,
California,San Francisco,2018,,,,,,,,,,13,24,31,18,15,
California,San Francisco,2019,,,,,,,,11,,11,10,14,18,14,
California,San Francisco,2020,,,,,,,,,,,13,11,15,,
California,San Joaquin,2017,,,,,,,12,14,18,13,23,11,33,,
California,San Joaquin,2018,,,,,,,,,14,15,20,20,30,,
California,San Joaquin,2019,,,,,,13,12,12,12,15,,16,,,
California,San Joaquin,2020,,,,,,11,17,14,18,15,21,29,18,,
California,San Luis Obispo,2017,,,,,,,,,,,,,10,,
California,San Luis Obispo,2018,,,,,,,,,,,,,12,,
California,San Luis Obispo,2020,,,,,,,,,,,,11,,,
California,San Mateo,2017,,,,,,,,,,,17,24,32,17,
California,San Mateo,2018,,,,,,,,,,10,12,24,24,15,
California,San Mateo,2019,,,,,,,,,12,10,13,17,11,,
California,San Mateo,2020,,,,,,,,,,,,12,,,
California,Santa Barbara,2017,,,,,,,,,,,,,15,,
California,Santa Barbara,2018,,,,,,,,,,,,18,11,,
California,Santa Barbara,2019,,,,,,,,,,,10,,17,,
California,Santa Barbara,2020,,,,,,,,,,,,,14,,
California,Santa Clara,2017,,,,,,,13,,15,20,28,48,51,26,
California,Santa Clara,2018,,,,,,,,11,17,23,32,46,47,18,
California,Santa Clara,2019,,,,,,,10,,13,19,19,34,32,21,
California,Santa Clara,2020,,,,,,10,12,17,17,25,27,31,34,12,
California,Santa Cruz,2018,,,,,,,,,,,,,,10,
California,Shasta,2018,,,,,,,,,,,10,13,,,
California,Shasta,2019,,,,,,,,,,,11,,12,,
California,Shasta,2020,,,,,,,,,,,,11,,,
California,Solano,2017,,,,,,,,12,,,,19,16,,
California,Solano,2018,,,,,,,,,11,12,,,25,,
California,Solano,2019,,,,,,,,,,10,10,17,13,,
California,Solano,2020,,,,,,,,,10,,,11,,,
California,Sonoma,2017,,,,,,,,,,,,16,,17,
California,Sonoma,2018,,,,,,,,,,,13,10,12,15,
California,Sonoma,2019,,,,,,,,,,,11,,14,,
California,Stanislaus,2017,,,,,,,,,,,15,15,,,
California,Stanislaus,2018,,,,,,,,,,14,,16,12,,
California,Stanislaus,2019,,,,,,,,,,,13,13,10,,
California,Stanislaus,2020,,,,,,,,,11,14,,13,12,,
California,Tulare,2017,,,,,,,,,14,11,,16,12,,
California,Tulare,2018,,,,,,,,,,11,,15,,,
California,Tulare,2019,,,,,,,,10,,,15,15,10,,
California,Tulare,2020,,,,,,,,15,,,12,10,16,,
California,Ventura,2017,,,,,,,,,12,13,11,10,14,,
California,Ventura,2018,,,,,,,11,,,13,17,14,11,,
California,Ventura,2019,,,,,,,,,,,12,14,12,,
California,Ventura,2020,,,,,,,,,,11,,12,12,,
California,Yolo,2017,,,,,,,,,,,,,11,,
Colorado,Arapahoe,2017,,,,,,,,,,,,,13,,
Colorado,Arapahoe,2020,,,,,,,,,,,10,,,,
Colorado,Boulder,2018,,,,,,,,,,,,,10,,
Colorado,Denver,2017,,,,,,,,,,,,19,11,,
Colorado,Denver,2018,,,,,,,,,,,,15,14,,
Colorado,Denver,2019,,,,,,,,,,,,,12,,
Colorado,El Paso,2017,,,,,,,,,,,,15,,,
Colorado,El Paso,2020,,,,,,,,,,,,13,,,
Colorado,Jefferson,2017,,,,,,,,,,,,,12,,
Connecticut,Fairfield,2017,,,,,,,,,,13,12,43,35,23,
Connecticut,Fairfield,2018,,,,,,,10,,,15,12,35,40,23,
Connecticut,Fairfield,2019,,,,,,,,,,13,11,17,34,15,
Connecticut,Fairfield,2020,,,,,,,,,14,13,22,19,24,14,
Connecticut,Hartford,2017,,,,,,,,,24,10,27,38,42,15,
Connecticut,Hartford,2018,,,,,,,,10,20,18,24,45,46,24,
Connecticut,Hartford,2019,,,,,,,,,15,16,16,21,34,20,
Connecticut,Hartford,2020,,,,,,,,11,13,,16,21,32,14,
Connecticut,Litchfield,2018,,,,,,,,,,,12,,,,
Connecticut,Litchfield,2019,,,,,,,,,,,,10,16,,
Connecticut,New Haven,2017,,,,,,,,,,,13,25,29,18,
Connecticut,New Haven,2018,,,,,,,,12,12,12,26,33,29,18,
Connecticut,New Haven,2019,,,,,,,,,,11,,18,23,19,
Connecticut,New Haven,2020,,,,,,,11,11,10,,16,22,13,,
Connecticut,New London,2017,,,,,,,,,,,10,15,12,,
Connecticut,New London,2018,,,,,,,,,,,12,15,17,,
Connecticut,New London,2019,,,,,,,,,,,10,,11,,
Connecticut,New London,2020,,,,,,,,,,,,,10,,
Connecticut,Tolland,2018,,,,,,,,,,,,10,,,
Delaware,New Castle,2017,,,,,,,10,,,14,22,17,18,,
Delaware,New Castle,2018,,,,,,,,,12,,13,19,18,,
Delaware,New Castle,2019,,,,,,,,,,10,,,11,,
Delaware,New Castle,2020,,,,,,,,,13,17,10,12,,,
Delaware,Sussex,2020,,,,,,,,,,,11,,,,
District of Columbia,District of Columbia,2017,,,,,,,,10,11,,11,11,12,,
District of Columbia,District of Columbia,2018,,,,,,,,11,,,,12,,,
District of Columbia,District of Columbia,2019,,,,,,,,11,,,,,12,,
District of Columbia,District of Columbia,2020,,,,,,,,,15,10,,,13,,
Florida,Brevard,2017,,,,,,,,10,,,16,21,19,14,
Florida,Brevard,2018,,,,,,,,,12,13,18,14,10,,
Florida,Brevard,2019,,,,,,,,,10,20,17,23,,,
Florida,Brevard,2020,,,,,,,,,13,18,13,27,14,,
Florida,Broward,2017,,,,,,,,10,19,16,13,27,28,,
Florida,Broward,2018,,,,,11,,13,11,14,18,27,26,14,10,
Florida,Broward,2019,,,,,,,15,11,17,23,23,28,23,,
Florida,Broward,2020,,,,,,,18,25,29,26,30,34,34,10,
Florida,Charlotte,2017,,,,,,,,,,,,11,,,
Florida,Charlotte,2018,,,,,,,,,,10,,17,11,,
Florida,Charlotte,2019,,,,,,,,,,11,10,,,,
Florida,Charlotte,2020,,,,,,,,,,14,,13,,,
Florida,Collier,2017,,,,,,,,,,,,,11,,
Florida,Collier,2018,,,,,,,,,,,,,10,,
Florida,Collier,2019,,,,,,,,,,,11,,,,
Florida,Collier,2020,,,,,,,,,,,,11,,,
Florida,Duval,2017,,,,,,,,11,11,21,18,19,26,13,
Florida,Duval,2018,,,,,,,14,,11,16,14,18,11,10,
Florida,Duval,2019,,,,,,,11,14,13,,15,17,19,,
Florida,Duval,2020,,,,,,,,15,17,,16,18,18,,
Florida,Escambia,2017,,,,,,,,,,,,,10,,
Florida,Escambia,2018,,,,,,,,,,13,,12,10,,
Florida,Escambia,2019,,,,,,,,,,,,,14,,
Florida,Escambia,2020,,,,,,,,10,13,10,11,10,,,
Florida,Hillsborough,2017,,,,,,,14,14,22,22,20,35,24,14,
Florida,Hillsborough,2018,,,,,,,13,10,18,27,27,28,27,,
Florida,Hillsborough,2019,,,,,,,,14,21,29,24,17,15,,
Florida,Hillsborough,2020,,,,,,,12,23,34,27,30,34,26,11,
Florida,Lake,2017,,,,,,,,,,,,,11,,
Florida,Lake,2018,,,,,,,,,,,,13,10,,
Florida,Lee,2017,,,,,,,,,,12,,14,14,,
Florida,Lee,2018,,,,,,,,12,,15,17,10,16,,
Florida,Lee,2019,,,,,,,,,,,10,11,,,
Florida,Lee,2020,,,,,,,,,10,13,14,14,12,,
Florida,Manatee,2017,,,,,,,,,,,10,14,,,
Florida,Manatee,2018,,,,,,,,,,,,15,,,
Florida,Manatee,2019,,,,,,,,,,,,14,14,,
Florida,Manatee,2020,,,,,,,,,,,,,13,,
Florida,Marion,2017,,,,,,,,,,,,11,,,
Florida,Marion,2018,,,,,,,,,,11,,10,,,
Florida,Martin,2018,,,,,,,,,,,,,11,,
Florida,Miami-Dade,2017,,,,,,10,17,30,26,41,44,75,47,19,
Florida,Miami-Dade,2018,,,,,,13,,13,25,42,40,55,51,26,
Florida,Miami-Dade,2019,,,,,,,14,19,25,16,38,68,29,17,
Florida,Miami-Dade,2020,,,,,11,14,26,38,37,42,52,50,44,19,
Florida,Okaloosa,2020,,,,,,,,,,,,12,,,
Florida,Orange,2017,,,,,,,,,15,,24,17,12,10,
Florida,Orange,2018,,,,,,,11,11,14,15,14,21,19,,
Florida,Orange,2019,,,,,,,10,,22,11,10,20,14,,
Florida,Orange,2020,,,,,,,11,12,12,11,17,17,12,,
Florida,Palm Beach,2017,,,,,,,,15,12,13,27,53,39,10,
Florida,Palm Beach,2018,,,,,,,,10,,16,26,35,42,22,
Florida,Palm Beach,2019,,,,,,,,10,,22,20,39,30,18,
Florida,Palm Beach,2020,,,,,,,16,11,20,34,22,31,37,20,
Florida,Pasco,2017,,,,,,,,,,,13,,,,
Florida,Pasco,2018,,,,,,,,,,11,17,13,,,
Florida,Pasco,2019,,,,,,,,,11,11,16,10,14,,
Florida,Pasco,2020,,,,,,,,,12,10,17,10,,,
Florida,Pinellas,2017,,,,,,,17,12,23,21,29,37,38,20,
Florida,Pinellas,2018,,,,,,,12,13,13,23,31,33,18,14,
Florida,Pinellas,2019,,,,,,,,11,15,15,16,19,18,12,
Florida,Pinellas,2020,,,,,,,,11,20,23,16,23,27,13,
Florida,Polk,2017,,,,,,12,14,19,19,15,27,21,20,13,
Florida,Polk,2018,,,,,,11,11,10,17,35,18,27,16,10,
Florida,Polk,2019,,,,,,,,13,15,16,27,26,16,11,
Florida,Polk,2020,,,,,,,15,12,24,15,29,14,23,,
Florida,Sarasota,2017,,,,,,,,,12,,27,24,28,13,
Florida,Sarasota,2018,,,,,,,,,11,13,20,34,40,17,
Florida,Sarasota,2019,,,,,,,,,,12,15,25,23,10,
Florida,Sarasota,2020,,,,,,,,,,16,18,17,17,13,
Florida,Seminole,2018,,,,,,,,,12,12,,,,,
Florida,St. Lucie,2017,,,,,,,,,,,10,13,,,
Florida,St. Lucie,2019,,,,,,,,,,,,12,,,
Florida,Volusia,2017,,,,,,,,10,15,13,22,19,26,,
Florida,Volusia,2018,,,,,,10,,,12,,15,16,16,10,
Florida,Volusia,2019,,,,,,,,,,12,13,13,13,,
Florida,Volusia,2020,,,,,,,,11,11,15,20,17,21,,
Georgia,Chatham,2018,,,,,,,,,,10,,,,,
Georgia,Chatham,2019,,,,,,,,,,,11,,,,
Georgia,Chatham,2020,,,,,,,,10,,,,12,,,
Georgia,Cobb,2017,,,,,,,,,12,10,,12,,,
Georgia,Cobb,2018,,,,,,,,,,11,11,11,,,
Georgia,Cobb,2019,,,,,,,,,,,12,,,,
Georgia,Cobb,2020,,,,,,,,,,,15,15,10,,
Georgia,DeKalb,2018,,,,,,,,,,,,,10,,
Georgia,DeKalb,2019,,,,,,,,,,,,,10,,
Georgia,DeKalb,2020,,,,,,,,,,10,,,,,
Georgia,Fulton,2017,,,,,,,,,,,15,13,14,,
Georgia,Fulton,2018,,,,,,,,,,13,16,12,18,,
Georgia,Fulton,2019,,,,,,,,,,,,14,12,,
Georgia,Fulton,2020,,,,,10,,,13,14,15,,16,,,
Georgia,Gwinnett,2018,,,,,,,,,,,12,15,,,
Georgia,Gwinnett,2019,,,,,,,,,,,,10,,,
Georgia,Henry,2019,,,,,,,,,10,,,,,,
Georgia,Muscogee,2018,,,,,,,,,,,10,,,,
Georgia,Spalding,2018,,,,,,,,,,,12,,,,
Georgia,Spalding,2020,,,,,,,,,,,10,,,,
Hawaii,Hawaii,2017,,,,,,,,,,,,,14,,
Hawaii,Honolulu,2017,,,,,,10,24,19,34,44,50,122,120,74,20
Hawaii,Honolulu,2018,,,,,,,20,32,22,35,52,76,101,89,22
Hawaii,Honolulu,2019,,,,,,,,,17,25,30,58,69,35,10
Hawaii,Honolulu,2020,,,,,,,,,13,13,16,27,45,21,
Idaho,Ada,2017,,,,,,,,,,,,13,,,
Illinois,Cook,2017,,,,12,18,37,51,70,65,86,142,147,155,68,19
Illinois,Cook,2018,,,,16,23,34,63,70,90,105,119,166,163,83,18
Illinois,Cook,2019,,,12,21,18,45,53,72,68,72,126,124,132,51,
Illinois,Cook,2020,,13,14,14,27,41,84,82,104,121,131,137,143,70,15
Illinois,DuPage,2017,,,,,,,,,12,10,17,31,29,,
Illinois,DuPage,2018,,,,,,,10,,11,14,15,26,33,13,
Illinois,DuPage,2019,,,,,,,,,,17,14,16,14,14,
Illinois,DuPage,2020,,,,,,,,,13,19,16,16,15,19,
Illinois,Kane,2017,,,,,,,,,10,,11,17,10,,
Illinois,Kane,2018,,,,,,,,,,,,18,13,,
Illinois,Kane,2019,,,,,,,,,13,,12,15,13,,
Illinois,Kane,2020,,,,,,,,,10,,18,,,,
Illinois,Kankakee,2017,,,,,,,,,,,,10,,,
Illinois,Lake,2017,,,,,,,,,,,11,16,13,,
Illinois,Lake,2018,,,,,,,,,,12,17,25,21,13,
Illinois,Lake,2019,,,,,,,,,,10,,19,11,10,
Illinois,Lake,2020,,,,,,,,,12,13,13,10,19,12,
Illinois,LaSalle,2020,,,,,,,,,,,12,,,,
Illinois,Madison,2017,,,,,,,,,,,10,15,,,
Illinois,Madison,2018,,,,,,,,,,,,14,11,,
Illinois,Madison,2019,,,,,,,,,,,,,13,,
Illinois,Madison,2020,,,,,,,,,10,12,,,,,
Illinois,McHenry,2020,,,,,,,,,,,10,10,,,
Illinois,Peoria,2018,,,,,,,,,,,14,,,,
Illinois,Rock Island,2019,,,,,,,,,,,10,,,,
Illinois,Sangamon,2017,,,,,,,,,,,,,,13,
Illinois,Sangamon,2018,,,,,,,,,,,,14,13,,
Illinois,Sangamon,2019,,,,,,,,,,,,11,,,
Illinois,St. Clair,2017,,,,,,,,,,,,14,,,
Illinois,Tazewell,2017,,,,,,,,,,,11,,,,
Illinois,Will,2017,,,,,,,,,11,10,16,13,13,,
Illinois,Will,2018,,,,,,,,13,,17,11,12,12,10,
